LapTimeCurrent,SpeedKmh,Throttle,Brake,Steering,Gear,Rpms,GlobalAccelerationG,LateralG,CarCoordX,CarCoordZ,TyreTempFL,TyreTempFR,TyreTempRL,TyreTempRR,BrakeTempFL,BrakeTempFR,BrakeTempRL,BrakeTempRR
84,168.34,0.7373,0.0,0.1722,4,8257,0.3881,-1.6324,-161.749,-83.115,53.4,57.5,60.0,60.8,0.0,26.0,26.0,26.0
108,168.62,0.6941,0.0,0.1365,4,8273,0.3289,-1.6751,-161.211,-82.129,53.4,57.5,60.0,60.8,0.0,26.0,26.0,26.0
126,168.79,0.6941,0.0,0.0997,4,8300,0.2747,-1.6719,-160.812,-81.385,53.4,57.5,60.0,60.8,0.0,26.0,26.0,26.0
147,168.99,0.5686,0.0,0.0567,4,8292,0.2838,-1.5837,-160.353,-80.514,53.4,57.5,60.0,60.8,0.0,26.0,26.0,26.0
171,169.16,0.4471,0.0,0.0225,4,8276,0.2671,-1.4795,-159.834,-79.513,53.4,57.5,60.0,60.8,0.0,26.0,26.0,26.0
192,169.31,0.4471,0.0,0.0146,4,8258,0.2077,-1.4716,-159.386,-78.633,53.5,57.5,60.0,60.8,0.0,26.0,26.0,26.0
210,169.36,0.1294,0.0,0.0101,4,8190,-0.042,-1.4238,-159.006,-77.876,53.5,57.6,60.1,60.8,0.0,26.0,26.0,26.0
234,169.3,0.1098,0.0,0.0079,4,8177,-0.0648,-1.2021,-158.506,-76.864,53.5,57.6,60.1,60.8,0.0,26.0,26.0,26.0
249,169.22,0.1098,0.0,0.0065,4,8172,-0.1142,-1.0171,-158.197,-76.23,53.5,57.6,60.1,60.9,0.0,26.0,26.0,26.0
270,169.05,0.0,0.0,0.0049,4,8120,-0.3043,-0.8542,-157.767,-75.342,53.5,57.6,60.1,60.9,0.0,26.0,26.0,26.0
294,168.77,0.0,0.1961,0.0041,4,8076,-0.6066,-0.705,-157.281,-74.326,53.5,57.6,60.1,60.9,0.0,26.0,26.0,26.0
315,168.2,0.0,0.1961,0.0038,4,8048,-0.7798,-0.5987,-156.859,-73.439,53.5,57.6,60.1,60.9,0.0,26.0,26.0,26.0
333,166.93,0.0,1.0,0.0032,4,7807,-2.3328,-0.3481,-156.501,-72.68,53.6,57.6,60.1,60.9,0.0,26.0,26.0,26.0
357,165.14,0.0,1.0,0.003,4,7661,-2.4321,-0.3055,-156.03,-71.678,53.6,57.6,60.1,60.9,0.0,26.0,26.0,26.0
378,163.32,0.0,1.0,0.0029,4,7499,-2.4973,-0.2586,-155.624,-70.812,53.6,57.6,60.2,60.9,0.0,26.0,26.0,26.0
402,161.41,0.0,1.0,0.0029,4,7371,-2.6151,-0.2199,-155.167,-69.832,53.6,57.6,60.2,60.9,0.0,26.0,26.0,26.0
417,159.47,0.0,1.0,0.0029,4,7213,-2.5737,-0.1739,-154.885,-69.227,53.6,57.7,60.2,60.9,0.0,26.0,26.0,26.0
441,157.61,0.0,1.0,0.0027,4,7040,-2.4862,-0.1726,-154.44,-68.269,53.6,57.7,60.2,60.9,0.0,26.0,26.0,26.0
465,155.73,0.0,1.0,0.0027,4,6952,-2.6294,-0.2202,-154.001,-67.323,53.6,57.7,60.2,60.9,0.0,26.0,26.0,26.0
480,153.68,0.0,1.0,0.0022,4,7039,-2.8175,-0.2342,-153.73,-66.738,53.7,57.7,60.2,61.0,0.0,26.0,26.0,26.0
504,151.6,0.0,1.0,0.0018,4,7088,-2.6988,-0.2485,-153.304,-65.814,53.7,57.7,60.2,61.0,0.0,26.0,26.0,26.0
525,149.68,0.0,1.0,0.0016,4,6957,-2.5541,-0.2665,-152.937,-65.017,53.7,57.7,60.2,61.0,0.0,26.0,26.0,26.0
549,147.61,0.0,1.0,0.0013,4,6720,-2.3839,-0.2414,-152.524,-64.117,53.7,57.7,60.2,61.0,0.0,26.0,26.0,26.0
567,146.11,0.0,1.0,0.0011,4,6552,-2.3517,-0.1699,-152.219,-63.45,53.7,57.8,60.2,61.0,0.0,26.0,26.0,26.0
588,144.05,0.0,1.0,0.0009,4,6438,-2.5107,-0.103,-151.868,-62.68,53.7,57.8,60.3,61.0,0.0,26.0,26.0,26.0
609,142.15,0.0,1.0,0.0009,4,6407,-2.5356,-0.1107,-151.521,-61.919,53.7,57.8,60.3,61.0,0.0,26.0,26.0,26.0
633,140.29,0.0,1.0,0.0008,4,6365,-2.5039,-0.1144,-151.131,-61.063,53.7,57.8,60.3,61.0,0.0,26.0,26.0,26.0
654,138.7,0.0,1.0,0.0008,4,6261,-2.5376,-0.058,-150.795,-60.323,53.8,57.8,60.3,61.0,0.0,26.0,26.0,26.0
672,136.76,0.0,1.0,0.0007,4,6149,-2.6378,-0.1369,-150.511,-59.697,53.8,57.8,60.3,61.0,0.0,26.0,26.0,26.0
693,134.86,0.0,1.0,0.0007,4,6056,-2.4813,-0.1918,-150.184,-58.977,53.8,57.8,60.3,61.0,0.0,26.0,26.0,26.0
714,133.1,0.0,1.0,0.0007,4,5923,-2.331,-0.1462,-149.862,-58.265,53.8,57.8,60.3,61.0,0.0,26.0,26.0,26.0
732,131.37,0.0,1.0,0.0007,4,5870,-2.3933,-0.0502,-149.59,-57.663,53.8,57.9,60.3,61.0,0.0,26.0,26.0,26.0
756,129.77,0.0,1.0,0.0007,4,5913,-2.614,-0.0206,-149.233,-56.87,53.8,57.9,60.3,61.1,0.0,26.0,26.0,26.0
777,127.55,0.0,1.0,0.0007,4,5903,-2.5658,-0.1397,-148.925,-56.187,53.8,57.9,60.3,61.1,0.0,26.0,26.0,26.0
798,125.77,0.165,1.0,0.0007,1,5813,-2.2811,-0.1397,-148.622,-55.514,53.8,57.9,60.3,61.1,0.0,26.0,26.0,26.0
