LapTimeCurrent,SpeedKmh,Throttle,Brake,Steering,Gear,Rpms,GlobalAccelerationG,LateralG,CarCoordX,CarCoordZ,TyreTempFL,TyreTempFR,TyreTempRL,TyreTempRR,BrakeTempFL,BrakeTempFR,BrakeTempRL,BrakeTempRR
57,188.56,1.0,0.0,-0.0004,6,6854,0.3833,0.0138,-168.338,-80.962,72.4,69.3,73.6,74.9,0.0,26.0,26.0,26.0
75,188.83,1.0,0.0,-0.0004,6,6881,0.366,-0.0034,-167.916,-80.119,72.4,69.3,73.6,74.9,0.0,26.0,26.0,26.0
99,189.11,1.0,0.0,-0.0004,6,6896,0.3951,0.0079,-167.351,-78.992,72.4,69.3,73.6,74.9,0.0,26.0,26.0,26.0
120,189.41,1.0,0.0,-0.0004,6,6899,0.4006,0.0254,-166.857,-78.005,72.4,69.3,73.7,74.9,0.0,26.0,26.0,26.0
138,189.7,1.0,0.0,-0.0004,6,6907,0.3963,-0.0173,-166.432,-77.158,72.4,69.3,73.7,75.0,0.0,26.0,26.0,26.0
162,190.0,1.0,0.0,-0.0004,6,6916,0.3999,0.0042,-165.865,-76.026,72.4,69.3,73.7,75.0,0.0,26.0,26.0,26.0
180,190.31,1.0,0.0,-0.0004,6,6914,0.4265,0.0644,-165.439,-75.176,72.4,69.3,73.7,75.0,0.0,26.0,26.0,26.0
204,190.6,1.0,0.0,-0.0004,6,6926,0.3807,0.0318,-164.87,-74.041,72.4,69.3,73.7,75.0,0.0,26.0,26.0,26.0
228,190.87,1.0,0.0,-0.0004,6,6956,0.3448,0.0039,-164.3,-72.904,72.4,69.3,73.7,75.0,0.0,26.0,26.0,26.0
243,191.12,1.0,0.0,-0.0003,6,6984,0.374,0.0242,-163.943,-72.193,72.4,69.3,73.7,75.0,0.0,26.0,26.0,26.0
267,191.43,1.0,0.0,-0.0001,6,6972,0.4348,0.0113,-163.371,-71.053,72.4,69.3,73.7,75.0,0.0,26.0,26.0,26.0
291,191.8,1.0,0.0,-0.0,6,6960,0.4121,-0.0334,-162.798,-69.911,72.4,69.3,73.7,75.0,0.0,26.0,26.0,26.0
309,192.09,1.0,0.0,0.0,6,6982,0.351,-0.0447,-162.367,-69.054,72.5,69.3,73.7,75.0,0.0,26.0,26.0,26.0
330,192.3,1.0,0.0,0.0001,6,7017,0.3427,-0.0543,-161.865,-68.051,72.5,69.3,73.7,75.0,0.0,26.0,26.0,26.0
348,192.57,1.0,0.0,0.0002,6,7030,0.3711,-0.0375,-161.434,-67.191,72.5,69.3,73.7,75.0,0.0,26.0,26.0,26.0
372,192.86,1.0,0.0,0.0003,6,7033,0.4002,-0.0233,-160.858,-66.043,72.5,69.3,73.7,75.0,0.0,26.0,26.0,26.0
393,193.18,1.0,0.0,0.0003,6,7019,0.4564,-0.0423,-160.354,-65.036,72.5,69.3,73.7,75.0,0.0,26.0,26.0,26.0
411,193.48,1.0,0.0,0.0004,6,7025,0.3902,-0.0023,-159.921,-64.172,72.5,69.3,73.7,75.0,0.0,26.0,26.0,26.0
435,193.71,1.0,0.0,0.0004,6,7052,0.3281,0.0084,-159.343,-63.017,72.5,69.3,73.7,75.0,0.0,26.0,26.0,26.0
453,194.01,1.0,0.0,0.0005,6,7076,0.3871,0.0027,-158.909,-62.151,72.5,69.3,73.7,75.0,0.0,26.0,26.0,26.0
474,194.3,1.0,0.0,0.0005,6,7082,0.379,0.0302,-158.402,-61.138,72.5,69.3,73.7,75.0,0.0,26.0,26.0,26.0
498,194.56,1.0,0.0,0.0005,6,7099,0.3681,-0.009,-157.821,-59.979,72.5,69.3,73.7,75.0,0.0,26.0,26.0,26.0
516,194.88,1.0,0.0,0.0005,6,7080,0.4139,-0.0219,-157.385,-59.109,72.5,69.3,73.7,75.0,0.0,26.0,26.0,26.0
540,195.18,1.0,0.0,0.0005,6,7085,0.3708,0.0061,-156.803,-57.946,72.5,69.3,73.8,75.0,0.0,26.0,26.0,26.0
561,195.46,1.0,0.0,0.0006,6,7100,0.3729,-0.0114,-156.293,-56.927,72.5,69.3,73.8,75.0,0.0,26.0,26.0,26.0
585,195.77,1.0,0.0,0.0006,6,7119,0.362,-0.0211,-155.708,-55.761,72.5,69.3,73.8,75.0,0.0,26.0,26.0,26.0
609,196.04,1.0,0.0,0.0006,6,7140,0.3641,0.007,-155.123,-54.593,72.5,69.3,73.8,75.0,0.0,26.0,26.0,26.0
630,196.31,1.0,0.0,0.0006,6,7162,0.3522,0.0186,-154.611,-53.57,72.6,69.3,73.8,75.0,0.0,26.0,26.0,26.0
648,196.61,1.0,0.0,0.0006,6,7180,0.3774,-0.0227,-154.171,-52.691,72.6,69.3,73.8,75.0,0.0,26.0,26.0,26.0
672,196.9,1.0,0.0,0.0006,6,7181,0.4022,-0.0249,-153.584,-51.518,72.6,69.3,73.8,75.0,0.0,26.0,26.0,26.0
696,197.21,1.0,0.0,0.0006,6,7165,0.4103,0.0235,-152.995,-50.343,72.6,69.3,73.8,75.0,0.0,26.0,26.0,26.0
714,197.51,1.0,0.0,0.0006,6,7170,0.3715,-0.026,-152.553,-49.461,72.6,69.3,73.8,75.0,0.0,26.0,26.0,26.0
732,197.73,1.0,0.0,0.0006,6,7191,0.3402,-0.0416,-152.111,-48.577,72.6,69.3,73.8,75.0,0.0,26.0,26.0,26.0
753,197.99,1.0,0.0,0.0006,6,7215,0.3605,-0.0033,-151.594,-47.545,72.6,69.3,73.8,75.0,0.0,26.0,26.0,26.0
777,198.27,1.0,0.0,0.0006,6,7215,0.3999,-0.0438,-151.003,-46.364,72.6,69.3,73.8,75.0,0.0,26.0,26.0,26.0
801,198.6,1.0,0.0,0.0006,6,7218,0.3848,-0.0348,-150.411,-45.18,72.6,69.3,73.8,75.0,0.0,26.0,26.0,26.0
816,198.84,1.0,0.0,0.0006,6,7228,0.3704,-0.0173,-150.041,-44.439,72.6,69.3,73.8,75.0,0.0,26.0,26.0,26.0
834,199.12,1.0,0.0,0.0006,6,7238,0.3699,-0.0256,-149.596,-43.55,72.6,69.3,73.8,75.0,0.0,26.0,26.0,26.0
858,199.39,1.0,0.0,0.0006,6,7251,0.3711,-0.0311,-149.002,-42.361,72.6,69.3,73.8,75.0,0.0,26.0,26.0,26.0
876,199.66,1.0,0.0,0.0006,6,7270,0.3522,-0.0372,-148.556,-41.469,72.6,69.3,73.8,75.0,0.0,26.0,26.0,26.0
900,199.9,1.0,0.0,0.0006,6,7302,0.2968,-0.0476,-147.961,-40.277,72.6,69.3,73.8,75.0,0.0,26.0,26.0,26.0
921,200.18,1.0,0.0,0.0006,6,7298,0.4154,-0.0532,-147.439,-39.233,72.6,69.3,73.8,75.0,0.0,26.0,26.0,26.0
939,200.5,1.0,0.0,0.0006,6,7275,0.4209,0.0088,-146.992,-38.337,72.6,69.3,73.9,75.0,0.0,26.0,26.0,26.0
963,200.75,1.0,0.0,0.0006,6,7278,0.3807,-0.0053,-146.395,-37.14,72.6,69.3,73.9,75.0,0.0,26.0,26.0,26.0
981,201.04,1.0,0.0,0.0006,6,7318,0.3076,-0.0023,-145.946,-36.241,72.6,69.3,73.9,75.0,0.0,26.0,26.0,26.0
1005,201.23,1.0,0.0,0.0006,6,7359,0.313,0.01,-145.347,-35.042,72.7,69.3,73.9,75.0,0.0,26.0,26.0,26.0
1020,201.51,1.0,0.0,0.0006,6,7351,0.4003,-0.0205,-144.972,-34.291,72.7,69.3,73.9,75.0,0.0,26.0,26.0,26.0
1044,201.8,1.0,0.0,0.0006,6,7344,0.3846,-0.0324,-144.372,-33.088,72.7,69.3,73.9,75.0,0.0,26.0,26.0,26.0
1062,202.05,1.0,0.0,0.0006,6,7336,0.4165,-0.0435,-143.921,-32.184,72.7,69.3,73.9,75.1,0.0,26.0,26.0,26.0
1083,202.34,1.0,0.0,0.0006,6,7341,0.377,-0.03,-143.395,-31.129,72.7,69.3,73.9,75.1,0.0,26.0,26.0,26.0
1101,202.61,1.0,0.0,0.0006,6,7357,0.3624,-0.0086,-142.943,-30.223,72.7,69.3,73.9,75.1,0.0,26.0,26.0,26.0
1125,202.86,1.0,0.0,0.0004,6,7383,0.3278,0.0225,-142.34,-29.013,72.7,69.3,73.9,75.1,0.0,26.0,26.0,26.0
1146,203.1,1.0,0.0,0.0004,6,7412,0.3363,0.0411,-141.811,-27.954,72.7,69.3,73.9,75.1,0.0,26.0,26.0,26.0
1170,203.38,1.0,0.0,0.0003,6,7402,0.399,0.0268,-141.206,-26.741,72.7,69.3,73.9,75.1,0.0,26.0,26.0,26.0
1188,203.67,1.0,0.0,0.0002,6,7403,0.3703,-0.0361,-140.752,-25.83,72.7,69.3,73.9,75.1,0.0,26.0,26.0,26.0
1209,203.94,1.0,0.0,0.0002,6,7411,0.3761,-0.0161,-140.221,-24.766,72.7,69.3,73.9,75.1,0.0,26.0,26.0,26.0
1227,204.17,1.0,0.0,0.0002,6,7420,0.3548,-0.0235,-139.766,-23.853,72.7,69.3,73.9,75.1,0.0,26.0,26.0,26.0
1248,204.43,1.0,0.0,0.0001,6,7434,0.3632,-0.0495,-139.234,-22.787,72.7,69.3,73.9,75.1,0.0,26.0,26.0,26.0
1266,204.7,1.0,0.0,0.0001,6,7436,0.3826,-0.0592,-138.778,-21.871,72.7,69.3,73.9,75.1,0.0,26.0,26.0,26.0
1290,204.98,1.0,0.0,0.0001,6,7440,0.3705,-0.0222,-138.169,-20.649,72.7,69.3,73.9,75.1,0.0,26.0,26.0,26.0
1311,205.22,1.0,0.0,0.0001,6,7472,0.3125,0.0251,-137.635,-19.578,72.7,69.3,73.9,75.1,0.0,26.0,26.0,26.0
1329,205.44,1.0,0.0,0.0001,6,7482,0.3589,0.0138,-137.177,-18.659,72.7,69.3,73.9,75.1,0.0,26.0,26.0,26.0
1350,205.73,1.0,0.0,0.0001,6,7471,0.4003,0.0062,-136.643,-17.585,72.7,69.3,73.9,75.1,0.0,26.0,26.0,26.0
1374,206.01,1.0,0.0,0.0001,6,7478,0.3661,-0.0231,-136.03,-16.357,72.8,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1392,206.25,1.0,0.0,0.0001,6,7514,0.2744,-0.0296,-135.571,-15.434,72.8,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1413,206.46,1.0,0.0,0.0001,6,7555,0.3036,-0.0156,-135.034,-14.356,72.8,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1431,206.74,1.0,0.0,0.0001,6,7535,0.4085,-0.0344,-134.574,-13.432,72.8,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1455,207.04,1.0,0.0,0.0001,6,7515,0.3752,0.0379,-133.959,-12.197,72.8,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1479,207.32,1.0,0.0,0.0001,6,7515,0.3669,0.0306,-133.344,-10.96,72.8,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1500,207.63,1.0,0.0,0.0001,6,7526,0.3505,0.001,-132.804,-9.877,72.8,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1518,207.88,1.0,0.0,0.0001,6,7551,0.3181,-0.0062,-132.341,-8.947,72.8,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1542,208.11,1.0,0.0,0.0001,6,7581,0.3125,-0.0419,-131.723,-7.706,72.8,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1560,208.3,1.0,0.0,0.0001,6,7601,0.3177,-0.0471,-131.259,-6.774,72.8,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1581,208.57,1.0,0.0,0.0001,6,7598,0.3603,-0.0342,-130.717,-5.685,72.8,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1605,208.86,1.0,0.0,0.0001,6,7580,0.3875,0.0109,-130.097,-4.439,72.8,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1623,209.18,1.0,0.0,0.0001,6,7584,0.343,0.0096,-129.632,-3.503,72.8,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1647,209.4,1.0,0.0,0.0001,6,7628,0.2489,0.0082,-129.01,-2.254,72.8,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1665,209.59,1.0,0.0,0.0001,6,7649,0.3585,0.0312,-128.543,-1.316,72.8,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1686,209.86,1.0,0.0,0.0001,6,7637,0.3631,0.0063,-127.998,-0.221,72.8,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1710,210.18,1.0,0.0,0.0001,6,7632,0.3698,-0.0107,-127.375,1.033,72.8,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1728,210.41,1.0,0.0,0.0001,6,7631,0.3699,-0.0065,-126.906,1.974,72.8,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1752,210.69,1.0,0.0,0.0002,6,7658,0.3134,-0.0271,-126.281,3.231,72.9,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1776,210.93,1.0,0.0,0.0003,6,7681,0.3327,-0.0283,-125.655,4.49,72.9,69.3,74.0,75.1,0.0,26.0,26.0,26.0
1794,211.17,1.0,0.0,0.0004,6,7692,0.342,-0.0179,-125.185,5.435,72.9,69.3,74.1,75.1,0.0,26.0,26.0,26.0
1815,211.43,1.0,0.0,0.0007,6,7690,0.381,0.0186,-124.636,6.538,72.9,69.3,74.1,75.1,0.0,26.0,26.0,26.0
