LapTimeCurrent,SpeedKmh,Throttle,Brake,Steering,Gear,Rpms,GlobalAccelerationG,LateralG,CarCoordX,CarCoordZ,TyreTempFL,TyreTempFR,TyreTempRL,TyreTempRR,BrakeTempFL,BrakeTempFR,BrakeTempRL,BrakeTempRR
47823,5.13,1.0,0.0,0.0006,2,2474,1.0804,-0.0009,-171.641,-42.895,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
47841,6.06,1.0,0.0,0.0006,2,2472,1.0978,0.0034,-171.628,-42.87,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
47865,6.27,1.0,0.0,0.0006,2,2472,-1.2302,-0.0046,-171.61,-42.833,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
47883,6.84,1.0,0.0,0.0006,2,2473,1.1362,0.0006,-171.595,-42.803,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
47901,7.22,1.0,0.0,0.0006,2,2473,0.2722,-0.0084,-171.579,-42.771,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
47922,7.79,1.0,0.0,0.0006,2,2473,0.3744,0.0004,-171.559,-42.732,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
47946,8.31,1.0,0.0,0.0006,2,2473,0.3183,0.0064,-171.535,-42.684,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
47964,8.8,1.0,0.0,0.0006,2,2473,0.4573,-0.0026,-171.516,-42.646,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
47988,9.3,1.0,0.0,0.0006,2,2473,0.5756,0.0024,-171.489,-42.592,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48009,9.79,1.0,0.0,0.0006,2,2473,0.6296,0.0017,-171.464,-42.542,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48033,10.27,1.0,0.0,0.0006,2,2473,0.6398,-0.0109,-171.434,-42.482,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48051,10.76,1.0,0.0,0.0006,2,2473,0.6295,0.0052,-171.41,-42.434,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48069,11.25,1.0,0.0,0.0006,2,2474,0.6643,-0.0033,-171.385,-42.385,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48090,11.74,1.0,0.0,0.0006,2,2474,0.658,0.0075,-171.356,-42.325,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48108,12.16,1.0,0.0,0.0006,2,2474,0.637,0.0116,-171.329,-42.272,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
