LapTimeCurrent,SpeedKmh,Throttle,Brake,Steering,Gear,Rpms,GlobalAccelerationG,LateralG,CarCoordX,CarCoordZ,TyreTempFL,TyreTempFR,TyreTempRL,TyreTempRR,BrakeTempFL,BrakeTempFR,BrakeTempRL,BrakeTempRR
60,185.34,1.0,0.0,0.0004,4,9103,0.6089,-0.0446,-168.243,-80.83,66.5,68.5,70.1,71.3,0.0,26.0,26.0,26.0
78,185.77,1.0,0.0,0.0002,4,9156,0.5667,-0.0404,-167.901,-79.968,66.6,68.5,70.1,71.3,0.0,26.0,26.0,26.0
99,186.21,1.0,0.0,0.0,4,9191,0.6058,-0.0331,-167.5,-78.959,66.6,68.5,70.1,71.3,0.0,26.0,26.0,26.0
117,186.68,1.0,0.0,-0.001,4,9196,0.6503,-0.0121,-167.156,-78.093,66.6,68.5,70.1,71.3,0.0,26.0,26.0,26.0
141,187.15,1.0,0.0,-0.0013,4,9208,0.6292,-0.0594,-166.696,-76.935,66.6,68.5,70.1,71.3,0.0,26.0,26.0,26.0
162,187.61,1.0,0.0,-0.0049,4,9229,0.6148,-0.0062,-166.292,-75.919,66.6,68.5,70.1,71.3,0.0,26.0,26.0,26.0
186,188.09,1.0,0.0,-0.0151,4,9233,0.6651,0.0806,-165.83,-74.754,66.6,68.5,70.1,71.3,0.0,26.0,26.0,26.0
201,188.56,1.0,0.0,-0.0202,4,9256,0.6031,0.1362,-165.54,-74.025,66.6,68.5,70.1,71.3,0.0,26.0,26.0,26.0
225,188.98,1.0,0.0,-0.0233,4,9308,0.5383,0.2033,-165.075,-72.856,66.6,68.5,70.2,71.3,0.0,26.0,26.0,26.0
246,189.39,1.0,0.0,-0.0232,4,9352,0.5907,0.2522,-164.666,-71.83,66.6,68.5,70.2,71.3,0.0,26.0,26.0,26.0
270,189.87,1.0,0.0,-0.0172,4,9348,0.6708,0.2436,-164.196,-70.656,66.6,68.5,70.2,71.3,0.0,26.0,26.0,26.0
288,190.38,1.0,0.0,-0.0126,4,9326,0.6725,0.2026,-163.842,-69.774,66.6,68.5,70.2,71.3,0.0,26.0,26.0,26.0
309,190.83,1.0,0.0,-0.007,4,9365,0.5734,0.2017,-163.427,-68.742,66.6,68.5,70.2,71.3,0.0,26.0,26.0,26.0
330,191.2,1.0,0.0,-0.0045,4,9465,0.4664,0.1682,-163.01,-67.708,66.6,68.5,70.2,71.3,0.0,26.0,26.0,26.0
348,191.62,1.0,0.0,-0.0036,4,9488,0.6214,0.1737,-162.652,-66.821,66.6,68.5,70.2,71.3,0.0,26.0,26.0,26.0
369,192.03,1.0,0.0,-0.0023,4,9479,0.6638,0.2361,-162.232,-65.784,66.6,68.5,70.2,71.3,0.0,26.0,26.0,26.0
390,192.53,1.0,0.0,-0.0016,4,9460,0.686,0.194,-161.811,-64.744,66.6,68.5,70.2,71.3,0.0,26.0,26.0,26.0
408,193.02,1.0,0.0,-0.0013,4,9456,0.6252,0.1298,-161.448,-63.851,66.6,68.5,70.2,71.3,0.0,26.0,26.0,26.0
429,193.41,1.0,0.0,-0.001,4,9486,0.5805,0.1441,-161.023,-62.807,66.6,68.5,70.2,71.3,0.0,26.0,26.0,26.0
