LapTimeCurrent,SpeedKmh,Throttle,Brake,Steering,Gear,Rpms,GlobalAccelerationG,LateralG,CarCoordX,CarCoordZ,TyreTempFL,TyreTempFR,TyreTempRL,TyreTempRR,BrakeTempFL,BrakeTempFR,BrakeTempRL,BrakeTempRR
40065,5.58,1.0,0.0,-0.0,2,2473,1.1002,0.0122,-171.635,-42.883,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40086,6.41,1.0,0.0,-0.0,2,2472,1.1719,-0.0413,-171.619,-42.852,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40110,6.47,1.0,0.0,-0.0,2,2473,1.0171,0.0118,-171.6,-42.814,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40128,7.04,1.0,0.0,-0.0,2,2473,-0.6475,-0.0034,-171.585,-42.783,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40152,7.65,1.0,0.0,-0.0,2,2473,0.306,-0.0128,-171.563,-42.739,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40170,8.14,1.0,0.0,-0.0,2,2473,0.5303,0.0121,-171.545,-42.704,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40197,8.62,1.0,0.0,-0.0,2,2473,0.5978,0.0001,-171.517,-42.648,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40215,9.1,1.0,0.0,-0.0,2,2473,0.6254,-0.0024,-171.497,-42.608,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40239,9.59,1.0,0.0,-0.0,2,2473,0.6533,0.0085,-171.469,-42.552,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40257,10.08,1.0,0.0,-0.0001,2,2473,0.6627,-0.0085,-171.447,-42.508,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40275,10.56,1.0,0.0,-0.0001,2,2473,0.6541,-0.0114,-171.424,-42.462,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40302,11.05,1.0,0.0,-0.0005,2,2474,0.6615,0.0168,-171.387,-42.389,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40320,11.47,1.0,0.0,-0.0024,2,2474,0.6702,0.0172,-171.362,-42.338,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40338,11.96,1.0,0.0,-0.0039,2,2474,0.6688,-0.0086,-171.336,-42.286,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40356,12.45,1.0,0.0,-0.0408,2,2474,0.6524,0.059,-171.308,-42.231,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40377,12.86,1.0,0.0,-0.0776,2,2474,0.649,0.1178,-171.275,-42.165,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40401,13.35,1.0,0.0,-0.1206,2,2474,0.6685,0.0881,-171.235,-42.087,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40419,13.91,1.0,0.0,-0.1697,2,2474,0.6525,0.1229,-171.203,-42.026,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40440,14.33,1.0,0.0,-0.2066,2,2474,0.6578,0.1336,-171.165,-41.953,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40464,14.89,1.0,0.0,-0.2557,2,2475,0.6705,0.1232,-171.119,-41.867,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40482,15.31,1.0,0.0,-0.2925,2,2475,0.6833,0.1303,-171.083,-41.801,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40503,15.86,1.0,0.0,-0.2803,2,2475,0.6436,0.0904,-171.039,-41.721,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40527,16.35,1.0,0.0,-0.2373,2,2475,0.6597,-0.0119,-170.987,-41.627,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40548,16.77,1.0,0.0,-0.2004,2,2475,0.669,-0.0364,-170.94,-41.542,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40566,17.26,1.0,0.0,-0.1575,2,2476,0.6658,-0.0909,-170.899,-41.467,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
40584,17.75,1.0,0.0,-0.1145,2,2476,0.6518,-0.0698,-170.857,-41.391,79.9,79.9,80.0,80.0,0.0,26.0,26.0,26.0
40611,18.25,1.0,0.0,-0.0715,2,2476,0.664,-0.1064,-170.793,-41.271,79.9,79.9,80.0,80.0,0.0,26.0,26.0,26.0
40629,18.74,1.0,0.0,-0.0285,2,2477,0.6635,-0.0733,-170.75,-41.189,79.9,79.9,80.0,80.0,0.0,26.0,26.0,26.0
40650,19.23,1.0,0.0,-0.0026,2,2477,0.6628,-0.1282,-170.698,-41.091,79.9,79.9,80.0,80.0,0.0,26.0,26.0,26.0
40674,19.79,1.0,0.0,-0.0001,2,2477,0.653,-0.0574,-170.638,-40.976,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
40692,20.21,1.0,0.0,-0.0,2,2478,0.6709,-0.0318,-170.591,-40.887,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
40719,20.76,1.0,0.0,-0.0,2,2478,0.6565,-0.0132,-170.52,-40.75,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
40737,21.19,1.0,0.0,-0.0,2,2479,0.6644,0.0129,-170.472,-40.657,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
40755,21.68,1.0,0.0,-0.0,2,2479,0.6614,0.0325,-170.422,-40.561,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
40776,22.17,1.0,0.0,-0.0018,2,2480,0.6687,-0.01,-170.363,-40.448,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
40800,22.65,1.0,0.0,-0.0144,2,2480,0.6501,0.016,-170.293,-40.315,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
40818,23.14,1.0,0.0,-0.0574,2,2481,0.6646,0.087,-170.24,-40.213,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
40836,23.63,1.0,0.0,-0.1003,2,2482,0.6479,0.1796,-170.186,-40.11,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
40860,24.12,1.0,0.0,-0.1433,2,2483,0.6557,0.1827,-170.111,-39.969,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
40878,24.6,1.0,0.0,-0.1863,2,2484,0.6276,0.2642,-170.053,-39.862,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
40902,25.09,1.0,0.0,-0.2293,2,2485,0.6251,0.2394,-169.973,-39.717,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
40920,25.57,1.0,0.0,-0.2723,2,2487,0.6423,0.2711,-169.911,-39.607,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
40941,25.98,1.0,0.0,-0.3091,2,2488,0.6483,0.299,-169.837,-39.476,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
40962,26.46,1.0,0.0,-0.3069,2,2490,0.6305,0.199,-169.76,-39.343,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
40983,26.95,1.0,0.0,-0.2821,2,2493,0.6474,0.1668,-169.681,-39.209,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
41004,27.44,1.0,0.0,-0.2391,2,2497,0.6601,-0.0074,-169.601,-39.072,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
41022,27.93,1.0,0.0,-0.1961,2,2501,0.6595,-0.026,-169.53,-38.952,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
41043,28.35,1.0,0.0,-0.1593,2,2505,0.6631,-0.0633,-169.447,-38.811,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
41064,28.84,1.0,0.0,-0.1163,2,2512,0.6661,-0.1291,-169.363,-38.667,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
41088,29.33,1.0,0.0,-0.0733,2,2522,0.6725,-0.0865,-169.266,-38.498,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
41109,29.81,1.0,0.0,-0.0325,2,2535,0.6486,-0.1464,-169.18,-38.348,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
41124,30.3,1.0,0.0,-0.0176,2,2552,0.6645,-0.0823,-169.118,-38.239,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
41145,30.78,1.0,0.0,-0.0116,2,2573,0.6534,-0.1021,-169.03,-38.084,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
41166,31.19,1.0,0.0,-0.0057,2,2587,0.6733,-0.0731,-168.941,-37.927,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
41187,31.54,1.0,0.0,-0.0032,2,2892,0.2118,0.0177,-168.851,-37.767,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
41205,32.01,1.0,0.0,-0.0019,2,2662,0.0465,-0.0019,-168.773,-37.629,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
41232,32.48,1.0,0.0,-0.0008,2,3131,0.9142,0.025,-168.654,-37.418,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
41253,32.86,1.0,0.0,-0.0003,2,3453,-0.5544,0.004,-168.561,-37.251,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
41274,33.38,1.0,0.0,-0.0002,2,3015,1.1057,0.0067,-168.466,-37.083,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
41292,34.2,1.0,0.0,-0.0001,2,2742,1.1035,0.0012,-168.383,-36.935,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
41313,34.54,1.0,0.0,-0.0,2,3208,1.112,0.023,-168.284,-36.76,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
41334,34.94,1.0,0.0,-0.0,2,3167,-0.0085,-0.0358,-168.185,-36.584,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
41355,35.52,1.0,0.0,-0.0,2,3587,1.025,0.0013,-168.084,-36.404,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
41376,36.11,1.0,0.0,-0.0,2,3464,1.149,-0.018,-167.981,-36.222,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
41397,36.6,1.0,0.0,-0.0,2,3351,0.0263,0.0293,-167.877,-36.037,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
41421,37.2,1.0,0.0,0.0,2,3818,1.1142,-0.0108,-167.756,-35.822,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
41442,37.82,1.0,0.0,0.0,2,3652,1.1259,0.0198,-167.649,-35.631,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
41460,38.33,1.0,0.0,0.0,2,3503,0.1246,-0.0425,-167.555,-35.465,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
41481,38.83,1.0,0.0,0.0,2,3545,0.1221,-0.0452,-167.444,-35.268,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
41499,39.46,1.0,0.0,0.0,2,4082,1.1626,0.0111,-167.348,-35.097,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
41520,40.09,1.0,0.0,0.0,2,3865,1.14,-0.0064,-167.234,-34.894,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
41541,40.85,1.0,0.0,0.0,2,3519,1.2093,0.0275,-167.119,-34.689,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
41559,41.58,1.0,0.0,0.0,2,3399,0.9855,0.0097,-167.017,-34.509,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
41580,42.15,1.0,0.0,0.0,2,3460,0.7493,-0.0156,-166.898,-34.296,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
41601,42.72,1.0,0.0,0.0,2,3518,0.7711,0.0318,-166.776,-34.08,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
41619,43.22,1.0,0.0,0.0,2,3563,0.7962,0.0362,-166.671,-33.892,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
41646,43.89,1.0,0.0,0.0,2,3619,0.8049,0.0115,-166.51,-33.607,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
41664,44.4,1.0,0.0,0.0,2,3655,0.8103,0.0123,-166.402,-33.414,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
41685,45.0,1.0,0.0,0.0,2,3700,0.8132,-0.0048,-166.273,-33.186,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
41706,45.6,1.0,0.0,0.0,2,3752,0.7944,0.0128,-166.143,-32.955,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
41724,46.2,1.0,0.0,0.0,2,3805,0.8097,-0.0235,-166.031,-32.755,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
41745,46.8,1.0,0.0,0.0,2,3856,0.8151,0.0116,-165.897,-32.518,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
41766,47.41,1.0,0.0,0.0,2,3904,0.8217,-0.0262,-165.763,-32.279,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
41787,47.94,1.0,0.0,0.0,2,3946,0.8248,-0.02,-165.626,-32.036,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
41805,48.56,1.0,0.0,0.0,2,3997,0.843,0.0254,-165.508,-31.825,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
41826,49.17,1.0,0.0,0.0,2,4050,0.8374,-0.0206,-165.368,-31.576,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
41850,49.79,1.0,0.0,0.0,2,4103,0.8389,0.0274,-165.206,-31.288,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
41865,50.33,1.0,0.0,0.0,2,4139,0.8528,0.0211,-165.103,-31.106,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
41886,50.96,1.0,0.0,0.0,2,4185,0.83,-0.0247,-164.958,-30.848,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
41907,51.58,1.0,0.0,0.0,2,4248,0.8337,0.0387,-164.812,-30.588,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
41928,52.19,1.0,0.0,0.0,2,4309,0.8356,-0.0107,-164.663,-30.324,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
41946,52.72,1.0,0.0,0.0,2,4362,0.8424,-0.0326,-164.534,-30.095,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
41967,53.35,1.0,0.0,0.0,2,4410,0.8679,-0.0055,-164.383,-29.825,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
41988,54.0,1.0,0.0,0.0,2,4451,0.8682,-0.0346,-164.229,-29.552,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
42009,54.55,1.0,0.0,0.0,2,4491,0.8608,-0.0153,-164.074,-29.275,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
42030,55.18,1.0,0.0,0.0,2,4546,0.8516,0.0228,-163.917,-28.996,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
42045,55.82,1.0,0.0,0.0,2,4604,0.8683,-0.0161,-163.803,-28.794,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
42069,56.46,1.0,0.0,0.0,2,4662,0.8739,0.0207,-163.62,-28.467,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
42087,57.02,1.0,0.0,0.0,2,4710,0.8876,0.0206,-163.481,-28.22,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
42111,57.68,1.0,0.0,0.0,2,4764,0.9001,-0.0199,-163.293,-27.886,79.6,79.6,79.8,79.8,0.0,26.0,26.0,26.0
42129,58.35,1.0,0.0,0.0,2,4821,0.8981,0.0237,-163.151,-27.633,79.6,79.6,79.8,79.8,0.0,26.0,26.0,26.0
42147,59.01,1.0,0.0,0.0,2,4879,0.8919,-0.0167,-163.007,-27.377,79.6,79.6,79.8,79.8,0.0,26.0,26.0,26.0
42174,59.79,1.0,0.0,0.0,2,4947,0.9186,-0.0148,-162.789,-26.989,79.6,79.6,79.8,79.8,0.0,26.0,26.0,26.0
42195,60.47,1.0,0.0,0.0,2,5005,0.9209,0.0167,-162.617,-26.683,79.6,79.6,79.8,79.8,0.0,26.0,26.0,26.0
42216,61.06,1.0,0.0,0.0,2,5058,0.9378,-0.0004,-162.443,-26.373,79.6,79.6,79.8,79.8,0.0,26.0,26.0,26.0
42237,61.76,1.0,0.0,0.0,2,5124,0.9322,-0.0458,-162.267,-26.06,79.6,79.6,79.8,79.8,0.0,26.0,26.0,26.0
42255,62.57,1.0,0.0,0.0,2,5203,0.9553,-0.0182,-162.115,-25.789,79.6,79.6,79.8,79.8,0.0,26.0,26.0,26.0
